,precip,solar,air,vapor,tem_output
2567,0,344.3,16.6,9.7,0.012
2568,0.1,233,15.4,9.9,0.012
2569,0,355.9,15.8,7.6,0.012
2570,0,332.8,14.7,6.2,0.012
2571,0,345.9,14.3,5.7,0.012
2572,0,368.4,13.3,6.3,0.012
2573,0,222.3,16.2,8.3,0.012
2574,0,323.5,20.6,9.3,0.012
2575,0.4,269.5,20.8,13.1,0.012
2576,14.8,129.3,18.9,17.7,0.104
2577,0.2,354.7,14.1,8.2,0.079
2578,0,365,15.9,7.6,0.059
2579,0,259.6,18.2,9.4,0.037
2580,2.6,220.7,18.5,15.1,0.039
2581,0.6,303.7,13.7,9.3,0.024
2582,0.3,276.2,12.3,7.8,0.012
2583,0.3,312.8,12,6.6,0.012
2584,0,289.4,12.5,7.5,0.012
2585,25,24.9,11.3,13.2,0.173
2586,1.9,228.4,9.9,8.4,0.138
2587,7.7,197.1,9.6,9,0.139
2588,3.8,164.3,12.2,9.2,0.116
2589,1.2,293.9,15,12.1,0.102
2590,4.4,200.3,20,18.5,0.112
2591,5,108.7,19.6,22.1,0.121
2592,11.1,69.9,21.3,22.8,0.143
2593,0.1,153.2,21.9,21.1,0.119
2594,12,207.2,23,23.4,0.148
2595,1.7,203.6,22.5,22.9,0.133
2596,0.9,174.2,20.2,19.2,0.128
2597,6.3,296.9,19.3,15.1,0.137
2598,0,337.8,22.2,12.7,0.119
2599,4.5,214.3,20.2,17.6,0.129
2600,4.3,235,18.1,15.5,0.131
2601,0,341.2,20.4,13.4,0.116
2602,5,148.2,17.9,15.6,0.128
2603,8.3,230.8,20.9,17.4,0.138
2604,13.8,176.6,16.5,18,0.16
2605,4.8,178.7,16.9,15,0.153
2606,0.7,314.6,17.5,11.2,0.141
2607,0,331.7,17.1,10.7,0.134
2608,0.2,214,17.5,14.7,0.129
2609,0,331.2,17,10.8,0.121
2610,0.1,240.8,17.3,11.6,0.114
2611,6,119.6,17.3,17.8,0.132
2612,2,178.6,13.2,11.9,0.123
2613,1,303.5,16.4,11.2,0.113
2614,0,272.6,20.1,13.7,0.104
2615,11.2,67.4,18,15.7,0.139
2616,2,60.4,11.3,10.6,0.123
2617,0.3,215,12.3,9.1,0.113
2618,2.4,210.6,14.3,9.8,0.113
2619,3.2,215.9,16.3,14.8,0.117
2620,8.2,123.1,17.3,16.6,0.134
2621,8.6,183.3,18.4,18.9,0.142
2622,9.3,97.2,17.9,20.1,0.151
2623,10.4,163.1,15.7,17.2,0.162
2624,2.2,172.8,8.6,8.5,0.152
2625,2.4,177.4,10.6,9.3,0.149
2626,8.2,118.3,14.5,13.2,0.16
2627,0,239.3,17.4,12.4,0.145
2628,0,291.5,16,12.1,0.138
2629,0,287.4,14.9,10,0.129
2630,0,295.5,15.8,10.6,0.121
2631,0,290.7,17.5,11.7,0.113
2632,0.2,123.8,19.8,15.1,0.108
2633,0.1,188.1,21.7,19.5,0.104
2634,13.2,114.8,17.7,17.1,0.146
2635,4,75.9,12.7,13,0.132
2636,0.7,196.8,14.5,11.5,0.12
2637,24.8,67.2,11.4,13.4,0.177
2638,0.3,218.7,12.3,9.8,0.149
2639,0,226.3,13.9,11.7,0.141
2640,0,254.5,16.8,12.1,0.132
2641,0,260.5,16.7,13.1,0.126
2642,0,255.5,17.9,13.5,0.119
2643,0.1,147.8,17.6,13.9,0.115
2644,3.1,95.5,13.3,12.1,0.122
2645,4.5,149.7,12,11.9,0.128
2646,1.3,134.7,17.6,16.3,0.12
2647,0,183.6,21.5,16.1,0.11
2648,0.1,236.3,22.9,16.9,0.103
2657,19.8,18.4,11.3,13.2,0.177
2658,0.7,63.4,10.8,9.9,0.156
2659,0,227.7,12.5,8.6,0.146
2660,0,217.2,11,8.8,0.141
2661,3.7,114.9,11.9,11.7,0.146
2662,7.2,135.3,11.8,12.3,0.156
2663,2.2,79.3,8.6,9.7,0.15
2664,1.6,46.7,7,8.7,0.148
2665,0.7,111.1,6.4,6.8,0.143
2666,0,194.4,5.9,7.1,0.141
2667,11,60.7,8.1,9.4,0.162
2668,0.2,159.7,6.7,7.3,0.149
2669,0.5,138.3,6.7,6.8,0.144
2670,24,20.5,6.6,9,0.187
2671,2.7,61.9,8.5,9.2,0.169
2672,0.1,174.8,6.5,6.2,0.161
2673,21.7,16.2,4.5,7.2,0.193
2674,18,33.8,4.6,7.3,0.197
2675,0,190.3,4.4,6.4,0.175
2676,0.1,110.8,9,9.4,0.168
2677,3.4,77.1,8.9,11.1,0.171
2678,11.1,46.9,10.7,11.9,0.183
2679,1,53,11.5,12.1,0.171
2680,1.7,67.9,7.3,9.2,0.169
2681,1.8,41.5,3.4,6.9,0.167
2682,0.3,126.5,2.9,5.7,0.163
2683,0,168.3,2.5,5.7,0.16
2684,0,157.3,4.6,7.2,0.157
2685,0,160.2,3.9,7.5,0.154
2686,1.9,88.5,5.4,7.8,0.154
2687,0.1,132.7,3.8,5.3,0.147
2688,1.1,103.1,2.3,4.8,0.144
2689,0.3,89.3,3.2,5.2,0.14
2690,0.7,29.3,2.5,6.4,0.138
2698,0.7,120.9,0,4.6,0.131
2699,10,31.3,1.2,6.6,0.154
2700,5.8,15.6,1.8,6.8,0.153
2701,1.3,59,0.1,5,0.145
2702,0,111.4,-1.6,3.8,0.139
2703,0,118.7,-2.8,4.1,0.136
2704,5.9,15.2,-0.1,5.3,0.147
2705,2.5,19.2,4,8,0.151
2706,13.9,87.1,9.7,10.6,0.169
2707,5.3,21.4,5.2,8.5,0.181
2708,1.8,26.5,-0.6,5.2,0.167
2709,0.3,98.2,-4.2,3,0.157
2710,1,20.7,-2.5,4.2,0.151
2711,1.1,53.2,-0.9,5,0.148
2712,0.1,98,-2.6,4.4,0.144
2713,0,100.1,-1.3,4.6,0.141
2714,3.2,10,0.4,6,0.148
2715,7.4,12.8,-1.2,5.2,0.141
2716,2,96.8,-4,3.2,0.138
2717,0,90.2,-4.4,3.5,0.136
2718,0,96.5,-5.1,3.8,0.135
2719,0,91.5,-3.4,4.4,0.133
2720,0,88.1,-4.6,3.8,0.132
2721,0,85.5,-1.2,3.9,0.129
2722,0,82.3,1.3,4.8,0.137
2723,0,76.9,-3.2,4.3,0.132
2724,0,31.6,0.2,4.6,0.131
2725,2.1,34.5,1.9,6.4,0.147
2726,0.7,44.8,-1,5.1,0.138
2727,13.7,4.7,0.1,5.6,0.165
2728,4.1,44.3,-3.7,3.9,0.15
2729,0.4,70.9,-12.9,1.9,0.146
2730,5.8,22.5,-7.1,3,0.143
2731,0.1,72.4,-11.5,2.2,0.141
2732,4.2,5.3,-3.4,4.3,0.139
2733,9.8,12.8,1.2,6,0.164
2734,1.4,50,-9.8,2.2,0.15
2735,0.1,56.4,-11.5,2.2,0.147
2736,7.9,22.4,-7.8,2.7,0.144
2737,1.4,56.5,-11,2.2,0.142
2738,0.7,30.6,-2.5,4.3,0.139
2739,0,61.2,-4.1,4.1,0.137
2740,1.3,41.4,-0.4,5.4,0.137
2741,25.1,1.2,4.8,7.4,0.2
2742,4.1,27,-1,5.4,0.181
2743,0.7,32,-4.7,4.1,0.167
2744,9.2,3.8,-3.6,4.3,0.159
2745,4.1,4.6,-1.4,5.4,0.154
2746,4.9,21.8,-2.9,4.6,0.15
2747,8.2,11.4,-2.9,4.4,0.146
2748,1.9,16.1,-9,2.4,0.143
2749,0.3,44.3,-15.6,1.5,0.141
2750,0.5,21.1,-13.4,1.6,0.139
2751,2.4,36.2,-8.5,2.9,0.138
2752,9.6,10.7,-12.8,2,0.137
2753,16,7.6,-9.1,2.6,0.135
2754,6,21.1,-13.3,1.8,0.134
2755,4.2,9.3,-16.2,1.4,0.133
2756,0.6,19.7,-13.7,1.8,0.133
2757,0.5,19.8,-15.3,1.6,0.132
2758,1.1,12.8,-7.8,2.9,0.131
2759,0.2,39.2,-9.3,2.7,0.13
2760,0.4,24.6,-8.9,2.8,0.13
2761,1.3,8.9,-7.3,3.2,0.129
2762,0.2,24.5,-6.8,3.2,0.128
2763,0.2,39,-9.5,2.6,0.128
2764,0.3,34.2,-11.5,2.1,0.127
2765,0.3,33.5,-10.6,2.4,0.127
2766,0.2,49.5,-17.6,1.3,0.126
2767,0.1,51.4,-16.2,1.4,0.126
2768,0,59.1,-17.2,1.3,0.125
2769,0.2,24.4,-13.7,1.9,0.125
2770,0.1,33.7,-3.1,3.8,0.124
2771,3.1,4.1,1.3,6.2,0.14
