-74.5,49.5, PREC ,1997,2001,5,46.5,14.5,1.5,-0.0,0.4,0.1,0.1,-0.0,0.4,-0.0,-0.0,0.0,-0.0,-0.0,14.5,0.1,0.0,-0.0,-0.0,0.0,0.0,5.2,1.3,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,0.2,3.9,4.1,1.3,13.4,1.3, Global
-74.5,49.5, PREC ,1997,2001,6,78.6,21.8,2.6,-0.0,-0.0,9.0,2.0,5.1,1.6,0.2,-0.0,0.0,1.0,0.0,0.6,0.5,3.1,1.2,0.1,3.2,0.1,-0.0,9.5,0.0,0.0,21.8,7.7,-0.0,0.0,0.0,0.5,-0.0,7.3,4.2, Global
-74.5,49.5, PREC ,1997,2001,7,120.0,15.1,3.9,-0.0,10.6,8.4,0.7,1.2,10.1,5.3,0.9,1.7,5.0,2.6,1.0,5.6,11.4,3.9,0.4,8.5,3.5,0.1,0.0,-0.0,4.1,15.1,3.4,14.9,0.3,0.7,0.0,0.5,-0.0,0.0,-0.0, Global
-74.5,49.5, PREC ,1997,2001,8,87.3,11.0,2.8,-0.0,-0.0,11.0,0.1,0.0,0.1,7.5,0.2,6.4,11.0,1.5,-0.0,0.0,1.4,0.8,3.8,6.1,3.8,8.2,0.2,0.3,4.6,0.1,6.8,-0.0,-0.0,2.5,0.0,6.0,0.2,1.0,3.7, Global
-74.5,49.5, PREC ,1997,2001,9,144.4,28.2,4.8,-0.0,2.5,0.0,20.7,5.4,-0.0,1.2,0.1,6.0,2.3,3.8,0.2,3.3,13.8,1.0,0.2,1.0,0.4,0.0,-0.0,21.9,4.5,4.7,0.5,28.2,12.6,4.6,5.5,-0.0,-0.0,-0.0, Global
-74.5,49.5, PREC ,1997,2001,10,108.3,20.8,3.5,-0.0,0.7,1.9,3.5,4.7,0.5,3.3,1.0,1.4,1.9,1.2,0.9,0.0,5.1,0.2,11.8,0.3,20.8,6.9,0.8,0.8,3.9,0.5,9.1,4.5,16.6,2.6,1.9,0.2,0.4,0.6,-0.0, Global
-74.5,49.5, PREC ,1997,2001,11,81.7,13.3,2.7,-0.0,3.5,6.7,2.3,1.4,1.3,-0.0,0.5,5.1,5.1,1.5,1.1,0.8,0.7,2.6,3.8,4.3,0.4,1.7,13.3,5.1,1.1,1.2,0.4,0.0,10.8,2.0,0.4,0.5,2.4,1.4, Global
-74.5,49.5, PREC ,1997,2001,12,69.0,13.7,2.2,-0.0,11.8,1.9,2.6,0.5,2.8,13.7,0.7,0.2,0.7,0.0,0.6,-0.0,8.7,1.4,0.3,0.1,3.1,1.5,0.5,0.8,0.9,0.2,2.7,4.8,0.1,0.3,1.2,0.2,3.1,2.0,1.6, Global
-74.5,49.5, PREC ,1997,2002,1,41.7,8.4,1.3,-0.0,1.0,1.1,1.0,0.1,0.2,2.0,0.1,0.5,2.6,1.9,1.0,0.7,8.4,0.3,0.8,1.5,0.3,0.4,0.3,1.6,2.2,0.7,7.2,0.3,0.9,1.0,0.3,2.5,0.7,-0.0,-0.0, Global
-74.5,49.5, PREC ,1997,2002,2,81.7,9.5,2.9,-0.0,9.3,1.2,1.5,1.1,0.8,0.1,5.8,1.1,-0.0,2.9,0.1,6.5,0.5,3.2,6.5,1.5,-0.0,-0.0,0.3,4.4,9.0,0.4,-0.0,2.1,9.5,8.0,5.2,0.7, Global
-74.5,49.5, PREC ,1997,2002,3,72.7,16.5,2.3,-0.0,0.7,1.1,16.5,0.6,0.2,0.8,0.2,6.4,4.7,6.6,0.8,0.2,5.8,2.3,0.8,1.0,-0.0,-0.0,-0.0,3.5,0.7,0.3,0.1,0.3,0.2,-0.0,2.2,1.2,0.5,13.5,1.3, Global
-74.5,49.5, PREC ,1997,2002,4,90.1,27.0,3.0,-0.0,0.5,3.3,6.5,1.9,0.2,-0.0,0.7,2.0,13.9,0.1,0.0,6.9,1.1,-0.0,1.8,3.5,5.6,5.6,27.0,0.4,0.3,0.0,-0.0,-0.0,4.3,3.7,0.4,-0.0,-0.0,0.2, Global
-74.5,49.5, PREC ,1997,2002,5,76.1,14.7,2.5,-0.0,0.2,0.1,1.1,-0.0,0.3,-0.0,8.1,0.0,4.4,9.2,0.4,-0.0,-0.0,2.7,3.1,4.9,2.3,1.5,2.1,2.9,-0.0,0.1,3.7,2.9,0.0,3.7,7.5,-0.0,-0.0,0.1,14.7, Global
-74.5,49.5, PREC ,1997,2002,6,73.2,15.3,2.4,-0.0,7.4,7.8,0.2,-0.0,3.1,-0.0,-0.0,13.8,4.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.7,0.1,-0.0,-0.0,0.1,-0.0,14.5,0.0,-0.0,5.0,15.3,-0.0,-0.0,-0.0, Global
-74.5,49.5, PREC ,1997,2002,7,148.7,19.3,4.8,-0.0,0.4,0.9,0.1,13.6,2.3,-0.0,-0.0,0.1,3.8,0.8,-0.0,4.2,5.8,10.4,17.8,1.4,16.7,0.1,-0.0,-0.0,4.5,10.9,0.3,-0.0,-0.0,2.8,7.3,13.6,11.5,19.3,0.1, Global
-74.5,49.5, PREC ,1997,2002,8,85.4,12.4,2.8,-0.0,-0.0,11.3,0.4,3.4,11.3,1.9,0.1,-0.0,0.4,5.7,-0.0,6.7,1.7,12.4,5.3,3.2,1.0,6.5,4.8,1.3,-0.0,2.6,-0.0,0.7,2.2,1.8,0.3,-0.0,0.2,0.2,-0.0, Global
-74.5,49.5, PREC ,1997,2002,9,104.6,16.5,3.5,-0.0,-0.0,-0.0,11.2,2.6,0.4,4.9,0.8,2.3,0.8,7.5,2.5,0.1,12.5,0.4,10.9,0.0,0.5,-0.0,0.6,16.5,7.3,1.5,7.5,3.7,1.4,0.3,5.2,1.7,-0.0,1.6, Global
-74.5,49.5, PREC ,1997,2002,10,90.1,17.5,2.9,-0.0,3.2,5.8,0.2,4.2,13.7,0.4,17.5,0.7,2.5,1.7,0.1,0.1,11.9,2.9,-0.0,2.7,10.2,1.3,0.0,0.1,1.1,0.5,1.1,1.1,0.0,4.5,0.8,0.6,0.6,-0.0,0.7, Global
-74.5,49.5, PREC ,1997,2002,11,90.8,19.1,3.0,0.0,1.6,0.5,0.3,0.8,0.5,2.8,0.6,5.0,0.1,19.1,17.5,0.5,0.9,6.1,0.8,0.0,0.0,8.2,0.0,3.7,6.7,2.5,0.4,0.8,0.8,1.1,0.5,0.2,2.5,6.4, Global
-74.5,49.5, PREC ,1997,2002,12,50.8,13.0,1.6,-0.0,1.6,0.6,0.5,0.2,0.3,0.3,3.4,0.4,2.5,3.5,0.2,0.0,1.2,0.8,0.4,0.2,-0.0,-0.0,7.7,13.0,1.1,2.8,1.6,1.1,0.4,0.4,0.0,0.8,0.6,0.1,5.3, Global
-74.5,49.5, PREC ,1997,2003,1,20.1,2.7,0.6,-0.0,0.4,0.0,-0.0,-0.0,0.2,1.8,2.0,2.7,0.0,0.1,1.7,1.2,0.5,0.2,0.0,0.2,0.1,0.2,1.2,1.1,0.1,2.6,0.4,0.1,0.9,0.2,-0.0,0.0,0.3,0.1,1.6, Global
-74.5,49.5, PREC ,1997,2003,2,45.8,14.8,1.6,-0.0,3.6,1.7,0.1,14.8,4.3,0.1,-0.0,1.8,0.2,1.0,0.1,1.0,0.1,0.0,-0.0,-0.0,0.0,-0.0,2.8,4.4,0.2,0.5,8.3,0.2,0.4,0.0,0.0,0.1, Global
